id,date,time,severity,casualties,number_of_casualties,number_of_vehicles,latitude,longitude
200001NI00992,2000-08-10,22:03:00,fatal,Cyclist,1,2,51.563746,-0.1064
200001NI01244,2000-10-05,23:01:00,fatal,Pedestrian,1,1,51.53173,-0.106288
200001NI01492,2000-12-12,22:25:00,fatal,Motorcycle rider/passenger,1,2,51.53775,-0.122765
200001PL00678,2000-07-04,09:15:00,fatal,Motorcycle rider/passenger,1,2,51.471921,-0.00293
200001PL01244,2000-12-04,07:10:00,fatal,Motorcycle rider/passenger,1,2,51.489199,-0.040924
200001PY00005,2000-01-24,20:48:00,fatal,Pedestrian,1,2,51.360428,0.088745
200001PY00159,2000-03-10,15:35:00,fatal,Car occupant,1,2,51.360009,0.081975
200001PY00360,2000-05-05,13:22:00,fatal,Pedestrian,Car occupant,2,1,51.412675,-0.057428
200001PY00417,2000-06-04,00:18:00,fatal,Pedestrian,1,2,51.394997,0.111883
200001PY00876,2000-09-28,17:20:00,fatal,Pedestrian,Car occupant,2,1,51.391526,0.079668
200001PY01170,2000-12-09,12:30:00,fatal,Pedestrian,1,1,51.40055,0.113146
200001QA00242,2000-04-11,22:55:00,fatal,Pedestrian,1,1,51.587159,-0.302473
200001QD00254,2000-05-03,10:55:00,fatal,Pedestrian,1,1,51.577227,-0.262865
200001QD00355,2000-06-17,12:05:00,fatal,Motorcycle rider/passenger,1,2,51.565595,-0.266772
200001QD00358,2000-06-24,12:55:00,fatal,Pedestrian,1,1,51.572641,-0.299695
200001QD00490,2000-09-17,00:47:00,fatal,Car occupant,5,1,51.57696,-0.256958
200001QD00574,2000-10-21,10:59:00,fatal,Pedestrian,1,1,51.562819,-0.292126
200001QD00641,2000-11-15,15:20:00,fatal,Car occupant,3,2,51.547072,-0.310023
200001QK00050,2000-01-23,06:52:00,fatal,Car occupant,1,3,51.52873,-0.21901
200001QK00310,2000-06-15,09:00:00,fatal,Pedestrian,1,1,51.541366,-0.258031
200001QK00313,2000-06-19,18:47:00,fatal,Pedestrian,1,1,51.535927,-0.23113
200001QK00324,2000-06-27,11:24:00,fatal,Pedestrian,1,1,51.544488,-0.262382
200001QK00415,2000-07-24,12:25:00,fatal,Bus/coach/minibus occupant,1,1,51.558499,-0.249153
200001QK00495,2000-09-08,09:26:00,fatal,Pedestrian,Car occupant,2,1,51.563382,-0.244925
200001QK00511,2000-09-12,15:20:00,fatal,Motorcycle rider/passenger,1,1,51.544547,-0.21248
200001QK00596,2000-11-06,20:07:00,fatal,Pedestrian,1,1,51.564505,-0.223961
200001RG00182,2000-03-08,08:25:00,fatal,Pedestrian,1,2,51.485564,0.101518
200001RG00209,2000-03-19,13:10:00,fatal,Motorcycle rider/passenger,1,3,51.463979,0.009248
200001RG00595,2000-07-08,19:56:00,fatal,Pedestrian,1,1,51.456748,0.042614
200001RG00874,2000-09-24,21:45:00,fatal,Pedestrian,1,1,51.458625,0.058677
200001RY00027,2000-01-24,09:17:00,fatal,Pedestrian,1,1,51.427653,0.111231
200001RY00077,2000-02-09,13:50:00,fatal,Motorcycle rider/passenger,Goods vehicle occupant,3,2,51.427432,0.093527
200001RY00263,2000-05-02,14:30:00,fatal,Cyclist,Goods vehicle occupant,2,2,51.449466,0.138288
200001SX00561,2000-04-17,20:46:00,fatal,Pedestrian,1,1,51.576453,-0.205455
200001SX00667,2000-05-07,04:45:00,fatal,Car occupant,4,2,51.578832,-0.237835
200001SX00845,2000-06-13,23:00:00,fatal,Pedestrian,1,1,51.605375,-0.156802
200001TW00109,2000-02-18,18:35:00,fatal,Pedestrian,1,1,51.427162,-0.345091
200001TW00436,2000-07-25,12:50:00,fatal,Pedestrian,1,2,51.455682,-0.371696
200001TX00613,2000-06-13,11:30:00,fatal,Pedestrian,1,1,51.467415,-0.36192
200001TX00924,2000-09-03,00:20:00,fatal,Car occupant,Bus/coach/minibus occupant,2,2,51.479889,-0.26023
200001TX01106,2000-10-03,11:10:00,fatal,Pedestrian,1,1,51.476358,-0.384208
200001TX01368,2000-12-06,23:50:00,fatal,Pedestrian,1,1,51.440536,-0.388494
200001TX01404,2000-10-09,14:30:00,fatal,Pedestrian,1,1,51.486529,-0.308374
200001VK00010,2000-01-06,09:05:00,fatal,Motorcycle rider/passenger,Bus/coach/minibus occupant,2,2,51.385068,-0.300477
200001VK00124,2000-03-01,17:53:00,fatal,Motorcycle rider/passenger,1,2,51.399123,-0.247339
200001VK00165,2000-03-29,11:55:00,fatal,Pedestrian,1,1,51.397633,-0.342707
200001VK00329,2000-07-14,22:27:00,fatal,Motorcycle rider/passenger,1,1,51.417877,-0.250649
200001VK00555,2000-12-22,22:57:00,fatal,Car occupant,6,2,51.386814,-0.254134
200001VW00016,2000-01-10,16:50:00,fatal,Pedestrian,1,1,51.401658,-0.195197
200001VW00683,2000-11-25,22:15:00,fatal,Motorcycle rider/passenger,1,2,51.402011,-0.154352
200001VW00759,2000-12-30,19:30:00,fatal,Pedestrian,1,1,51.399125,-0.1595
200001WW00045,2000-01-19,03:40:00,fatal,Car occupant,2,1,51.46291,-0.184288
200001WW00194,2000-02-28,11:32:00,fatal,Pedestrian,1,1,51.457038,-0.194165
200001WW00215,2000-03-03,21:08:00,fatal,Pedestrian,1,1,51.451268,-0.216701
200001WW00412,2000-04-14,03:13:00,fatal,Car occupant,2,1,51.461706,-0.187791
200001WW00587,2000-06-01,14:09:00,fatal,Pedestrian,Motorcycle rider/passenger,2,1,51.449054,-0.189587
200001WW01064,2000-06-28,09:03:00,fatal,Car occupant,Motorcycle rider/passenger,2,2,51.483227,-0.132351
200001WW01258,2000-10-22,06:35:00,fatal,Pedestrian,1,1,51.457253,-0.19646
200001WW01345,2000-11-13,02:15:00,fatal,Motorcycle rider/passenger,1,1,51.450165,-0.174287
200001WW01371,2000-11-09,14:10:00,fatal,Pedestrian,1,1,51.452448,-0.229321
200001XD00264,2000-03-22,15:40:00,fatal,Pedestrian,Car occupant,2,1,51.530748,-0.300535
200001XS00095,2000-03-02,09:50:00,fatal,Pedestrian,1,1,51.507121,-0.378364
200001XS00194,2000-04-05,12:55:00,fatal,Pedestrian,3,2,51.508562,-0.346322
200001XS00616,2000-07-30,02:05:00,fatal,Pedestrian,1,1,51.551089,-0.339443
200001XS00942,2000-10-27,20:30:00,fatal,Motorcycle rider/passenger,1,2,51.498722,-0.362815
200001XS01291,2000-12-13,19:25:00,fatal,Car occupant,Goods vehicle occupant,2,2,51.525405,-0.373967
200001YE00339,2000-05-28,19:35:00,fatal,Car occupant,2,1,51.613859,-0.058382
200001YE00450,2000-07-14,17:05:00,fatal,Motorcycle rider/passenger,1,1,51.609814,-0.085852
200001YE00515,2000-03-06,11:15:00,fatal,Cyclist,1,2,51.621133,-0.057783
200001YE00535,2000-08-15,16:25:00,fatal,Motorcycle rider/passenger,1,2,51.61521,-0.047635
200001YE00824,2000-12-09,06:28:00,fatal,Car occupant,Goods vehicle occupant,2,3,51.613953,-0.1306
200001YR00126,2000-02-15,20:00:00,fatal,Pedestrian,1,1,51.582888,-0.07255
200001YR00556,2000-06-19,21:03:00,fatal,Pedestrian,2,1,51.581377,-0.079109
200001ZD00011,2000-01-07,20:35:00,fatal,Pedestrian,Car occupant,2,1,51.296734,-0.111098
200001ZD00074,2000-01-04,15:40:00,fatal,Pedestrian,1,1,51.412017,-0.110664
200001ZD00236,2000-02-25,19:20:00,fatal,Car occupant,2,2,51.297729,-0.111488
